Random Scheduling,Hillclimber,Exponential,Sigmoidal,Linear,Geman
-866,568,820,397,753,783
-867,567,820,397,753,782
-867,567,820,396,753,782
-867,567,820,396,752,782
-869,567,820,396,752,782
-870,567,820,396,752,782
-870,567,820,395,751,782
-872,566,820,395,751,781
-872,566,818,394,751,781
-874,566,817,394,750,781
-874,566,817,394,749,781
-875,565,816,393,749,780
-876,565,815,392,748,780
-876,565,815,392,748,780
-877,565,815,391,748,780
-878,563,815,391,748,780
-879,562,815,391,748,780
-880,562,815,390,747,780
-882,562,815,390,747,779
-883,562,815,390,747,778
-885,562,815,389,747,778
-886,561,815,387,747,778
-889,561,811,387,747,778
-889,560,811,385,747,778
-891,560,810,385,747,777
-891,560,810,383,746,777
-892,560,810,383,746,777
-892,559,810,383,746,776
-893,558,810,383,745,775
-899,557,810,382,744,775
-901,556,810,382,744,775
-904,556,810,381,743,775
-906,556,810,380,743,773
-909,556,810,380,742,773
-910,556,810,379,741,773
-910,555,810,379,741,772
-910,555,810,379,740,772
-911,555,810,377,740,772
-914,554,810,376,740,771
-921,554,810,376,740,771
-921,554,810,376,739,771
-921,551,810,375,738,771
-921,551,808,375,738,770
-923,550,807,375,737,770
-923,549,806,370,736,770
-923,549,806,370,736,768
-924,548,805,370,736,766
-925,547,805,369,736,766
-930,547,805,369,733,766
-932,547,802,369,733,766
-935,546,801,368,733,766
-937,542,801,368,732,765
-938,542,800,367,732,765
-953,540,800,367,732,764
-955,540,800,366,731,762
-955,539,800,366,731,762
-959,537,800,365,731,761
-963,537,800,365,731,760
-970,536,800,364,731,760
-974,534,800,364,730,759
-993,533,800,363,728,759
-1000,532,800,362,728,759
-1002,531,800,361,728,758
-1005,530,800,359,727,758
-1074,530,796,358,727,756
-10530,529,795,358,727,755
-10537,527,795,354,727,755
-10543,527,795,354,726,754
-10583,526,795,354,725,752
-10608,525,795,352,725,751
-10621,522,795,351,725,750
-10640,521,795,350,724,750
-10649,520,791,350,724,749
-10654,514,790,349,723,748
-10661,513,790,348,721,748
-10694,512,790,347,721,747
-10704,509,790,347,720,747
-10712,508,790,345,720,746
-10718,506,790,342,720,745
-10718,503,785,342,720,745
-10739,502,780,335,719,744
-10747,498,780,328,719,744
-10780,497,780,328,718,742
-10781,497,780,328,717,742
-10783,495,780,324,716,741
-10795,495,780,321,715,741
-10802,495,780,321,715,740
-10802,491,780,316,714,740
-10805,485,780,315,713,733
-10811,483,780,311,713,731
-10813,482,780,308,712,731
-10819,479,780,303,710,730
-10825,479,773,303,705,726
-10836,464,772,301,702,725
-10837,464,772,296,696,725
-10843,458,770,296,693,721
-10851,454,770,295,693,717
-10860,453,770,294,685,707
-10865,448,765,293,678,700
-10885,443,761,287,665,697
-10892,390,760,276,635,677
-10896,371,745,266,632,661
